id,name,description,category,difficulty,region,lat,lon,duration,distance_km,base_visits,family_friendly,dog_friendly,accessible,has_water,price_type,season,duration_hours,official_url
tiuli-108,בעקבות משמרות הכהונה בגליל,"מסלול טיול בטבע פתוח, בצפון הארץ, באורך כ-3 ק""מ ברמת קושי קלה.",nature,easy,north,32.7505,35.2841,כחצי שעה,3,1154,false,false,false,false,free,,,
tiuli-26,"בקעת כורסי, נחל עין-גב וסוסיתא","יעד טיול לאורך נחל ומקווי מים בצפון הארץ — מסלול באורך כ-3 ק""מ, רמת קושי בינונית.",water,medium,north,32.8267,35.6503,כחצי שעה,3,1886,false,false,false,false,free,,,
tiuli-83,בקעת תמנע,"יעד טיול בטבע פתוח בנגב ובדרום הארץ — מסלול באורך כ-3 ק""מ, רמת קושי בינונית.",nature,medium,south,29.7877,34.9952,כחצי שעה,3,2496,false,false,false,false,free,,,
ein-tzurim-pools,בריכות עין צורים,"שלוש בריכות שכשוך קטנות ומוצלות למרגלות היישוב ראש צורים בגוש עציון, ביניהן בריכה חצובה בסלע בתוך מערה קטנה - פינת חמד רגועה למשפחות.",water,easy,jerusalem,31.66808,35.124606,עד חצי שעה,0.3,70,true,false,false,true,free,,0.3,https://www.maslulim-israel.co.il/tracks/%d7%91%d7%a8%d7%99%d7%9b%d7%95%d7%aa-%d7%a2%d7%99%d7%9f-%d7%a6%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%a2%d7%99%d7%99%d7%9f-%d7%95%d7%a4%d7%99%d7%a0%d7%aa-%d7%97%d7%9e%d7%93-%d7%9e%d7%95%d7%a6%d7%9c%d7%aa/
brechat-gidona,בריכת גדעונה (חורשת גדעון),"בריכת-מעיין בתוך חורשה ירוקה בעמק חרוד, אזור טיולים רגליים שקט הרחוק מהעומס של אתרי-הדגל בעמק.",water,easy,north,32.5500474,35.3655649,שעה,1,250,true,false,false,true,free,,1,
lm-a68a19b8,בריכת המשושים,בריכת המשושים — מעיין / מקור מים באזור צפון / גולן וחרמון,water,easy,north,32.833,35.705,,0,0,true,false,false,true,free,,,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
lm-67603244,בריכת הקשתות רמלה,בריכת הקשתות רמלה — מעיין / מקור מים באזור מרכז / גוש דן ואתרים עירוניים,water,easy,center,31.9304,34.8733,,0,0,true,false,false,true,free,,,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
birkat-ram,ברכת רם,"אגם טבעי בלוע הר-געש כבוי ברמת הגולן, עם מים ממעיין תת-קרקעי ולעיתים גם הזרמת-מים-חמים מצינור - נוף מרהיב אל הר החרמון. הגישה למקטע המים-החמים קשה ובוצית.",water,medium,north,33.2325,35.7661111,שעה,1,169,false,false,false,true,free,winter,1,
tiuli-94,בתי אפנדים בגליל המערבי,"טיול בטבע פתוח בצפון הארץ, באורך של כ-2 ק""מ ברמת קושי בינונית.",nature,medium,north,33.005,35.0992,כחצי שעה,2,300,false,false,false,false,free,,,
gev-halon,גב חלון,"גב-מים טבעי בשמורת עין גדי, עם בריכת-סלע צלולה בתוך נוף-מדברי דרמטי - יעד מרשים בתוך מערכת הנחלים של השמורה.",water,medium,deadsea,31.472478,35.3828,שעתיים,3,30,false,false,false,true,paid,,2,
tiuli-57,גבעות מע'אר,"מסלול טיול בטבע פתוח, במרכז הארץ, באורך כ-4 ק""מ ברמת קושי קלה.",nature,easy,center,31.8419,34.7879,כשעה,4,910,false,false,false,false,free,,,
lm-bbd1565f,גבעת המורה,גבעת המורה — נקודת עניין / טיול באזור צפון / גליל תחתון עמקים וגלבוע,viewpoints,easy,north,32.6177,35.3489,,0,0,true,false,false,false,free,,,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
tiuli-329,גבעת חרוט,"יעד טיול במסלול הררי בנגב ובדרום הארץ — מסלול באורך כ-2.5 ק""מ, רמת קושי קלה.",mountains,easy,south,30.6025,34.9347222,כחצי שעה,2.5,300,false,false,false,false,free,,,
gamla,גמלא,"עיר יהודית עתיקה על רכס תלול בגולן, המכונה ""מצדה של הצפון"", ומקום קינון לנשרים.",archaeology,medium,north,32.9047,35.7469,2.5 שעות,3.7,9100,false,false,false,false,free,,,
adullam-france-park,גן ארכיאולוגי פארק עדולם-צרפת,"פארק יער בשפלת יהודה המשלב שרידים ארכיאולוגיים (בהם חורבת עתרי) עם שבילי-הליכה ואתרי-פיקניק - נטוע בשיתוף קרן היהודים בצרפת, ומציע נוף פתוח על גבעות השפלה.",archaeology,easy,center,31.644743,34.960909,שעה-שעתיים,2,80,true,true,false,false,free,,1.5,
gan-hashlosha,גן השלושה (סחנה),"אחד מאתרי-הרחצה הפופולריים ביותר בישראל - בריכות מים חמימים טבעיים (כ-28 מעלות כל השנה) הזורמים במפלים קטנים בין דשא ירוק, לרגלי הגלבוע. כולל גם מוזיאון ארכיאולוגי בשטח.",water,easy,north,32.507101,35.44552,שעתיים-שלוש,1,300,true,false,true,true,paid,,2.5,
tiuli-16,גן לאומי אפולוניה: תל ארשף,"טיול באתר ארכיאולוגי במרכז הארץ, באורך של כ-2 ק""מ ברמת קושי קלה.",archaeology,easy,center,32.1906,34.808,כחצי שעה,2,1276,false,false,false,false,free,,,
ashkelon-national-park,גן לאומי אשקלון,"גן לאומי חופי הפרוש על שרידי העיר הכנענית-פלישתית-רומית העתיקה של אשקלון, עם חומות עפר עתיקות, שרידי שער כנעני ותצפית אל חוף הים התיכון - שילוב של ארכיאולוגיה ונופש-חוף.",archaeology,easy,center,31.662477,34.546367,שעה-שעתיים,2.5,200,true,false,false,true,paid,,1.5,
beit-alfa,גן לאומי בית אלפא,"בית-כנסת עתיק מהתקופה הביזנטית לרגלי הגלבוע, המפורסם בזכות רצפת הפסיפס המרהיבה והמשומרת היטב שלו - גלגל המזלות, ארון הקודש ותיאור עקדת יצחק.",archaeology,easy,north,32.5186116,35.4273788,חצי שעה-שעה,0.5,90,true,false,true,false,paid,,0.75,
lm-bb71fecd,גן לאומי בית גוברין,גן לאומי בית גוברין — פארק / שמורה / יער באזור ירושלים / הרי יהודה והשפלה,parks,easy,jerusalem,31.6128,34.8954,,0,0,true,false,false,false,free,,,https://www.tiuli.com/points-of-interest
beit-guvrin,גן לאומי בית גוברין-מרשה,"אחד מאתרי-המערות המרשימים בישראל - מאות מערות-פעמון וחציבות עתיקות בסלע-גיר רך, כולל מערת-יונים ומערת-פעמון ענקית, פרושות על שטח נרחב בשפלת יהודה.",archaeology,easy,center,31.601631,34.895464,שעתיים-שלוש,3,250,true,false,false,false,paid,,2.5,
beit-shearim,גן לאומי בית שערים,"בית-קברות יהודי-רומי תת-קרקעי עתיק, אתר מורשת עולמי אונסק""ו - מערכת מערות-קבורה מונומנטליות עם ארונות-אבן (סרקופגים) מגולפים וכתובות עתיקות רבות.",archaeology,easy,north,32.703757,35.129933,שעה-שעתיים,1.5,120,true,false,false,false,paid,,1.5,
lm-f5e97416,גן לאומי גן השלושה,גן לאומי גן השלושה — גן לאומי / מים באזור צפון / עמק המעיינות,parks,easy,north,32.4833,35.4167,,0,0,true,false,false,false,free,,,https://www.parks.org.il/trip/page/2/
lm-3dc71019,גן לאומי הקסטל,גן לאומי הקסטל — פארק / שמורה / יער באזור ירושלים / הרי יהודה והשפלה,parks,easy,jerusalem,31.7955,35.1448,,0,0,true,false,false,false,free,,,https://www.tiuli.com/points-of-interest
hurshat-tal,גן לאומי חורשת טל,"פארק-נופש גדול ומוצל בצל עצי-אלון עתיקים בצפון הגליל העליון, סביב אגם מלאכותי הניזון ממי נחל דן - פופולרי לפיקניק, קמפינג וטיולי-משפחות.",parks,easy,north,33.2213221,35.6297672,כרצונך,2,220,true,true,false,true,paid,,2,
hamat-tiberias,גן לאומי חמת טבריה,"אתר מעיינות-מרפא חמים על שפת הכנרת, הידוע כבר מתקופת חז""ל - כולל בית-כנסת עתיק עם רצפת-פסיפס מרשימה (גלגל-מזלות) ומרכז-מבקרים על ההיסטוריה של המקום.",archaeology,easy,north,32.7667323,35.5505424,שעה-שעה וחצי,0.5,100,true,false,true,true,paid,,1,
korazim,גן לאומי כורזים,"שרידי עיירה יהודית עתיקה מתקופת המשנה והתלמוד בגליל העליון, הבנויה כולה מאבן-בזלת שחורה - כולל שרידי בית-כנסת עתיק ומפורסם מהתקופה הרומית-ביזנטית.",archaeology,easy,north,32.9122229,35.5648923,שעה,1,90,true,false,false,false,paid,,1,
lm-65ccbae1,גן לאומי ממשית,גן לאומי ממשית — גן לאומי / מסלול באזור נגב,parks,easy,south,31.0240184,35.0648415,,0,0,true,false,false,false,free,,,https://www.parks.org.il/trip/page/2/
maayan-harod,גן לאומי מעיין חרוד,"בריכת-מעיין טבעית צלולה לרגלי הגלבוע, מוקפת מדשאות וצללים - אתר-רחצה משפחתי פופולרי, הקשור גם לסיפור המקראי של גדעון ו-300 הלוחמים.",water,easy,north,32.5514614,35.3576821,שעתיים-שלוש,1,180,true,false,true,true,paid,,2,
lm-44764f86,גן לאומי עין חמד,גן לאומי עין חמד — פארק / שמורה / יער באזור ירושלים / הרי יהודה והשפלה,parks,easy,jerusalem,31.796716,35.123935,,0,0,true,false,false,false,free,,,https://www.tiuli.com/points-of-interest
ein-hemed,גן לאומי עין חמד (אקווה בלה),"פינת-נופש ירוקה בכניסה להרי ירושלים, סביב מבנה צלבני עתיק (""אקווה בלה"") ובריכת-מעיין - יעד פיקניק פופולרי ונגיש למשפחות, במרחק קצר מהעיר.",water,easy,jerusalem,31.794795,35.127566,שעה-שעה וחצי,1.5,150,true,false,true,true,paid,,1,
ein-hanya,גן לאומי עין חניה,"מעיין ובריכת-רחצה טבעית בעמק רפאים בכניסה לירושלים, משוחזר ומתוחזק כגן לאומי - יעד קליל ומשפחתי במרחק דקות מהעיר, עם צל ומים זורמים.",water,easy,jerusalem,31.7439425,35.157429,שעה-שעה וחצי,1,140,true,false,true,true,free,,1,
tiuli-145,גן לאומי עיר דוד והסביבה: אבנים מספרות היסטוריה,"טיול בפארק לאומי בהרי ירושלים, באורך של כ-3 ק""מ ברמת קושי בינונית.",parks,medium,jerusalem,31.7745,35.2351,כחצי שעה,3,544,false,false,false,false,free,,,
ben-gurion-tomb,גן לאומי קבר בן-גוריון,"אתר ההנצחה של דוד בן-גוריון ורעייתו פולה במדרשת בן-גוריון שבנגב, עם תצפית מרהיבה אל קניון נחל צין - שילוב של מורשת ציונית ונוף מדברי פתוח.",viewpoints,easy,south,30.847961,34.782144,חצי שעה-שעה,0.5,140,true,false,true,false,free,,0.75,
qumran,גן לאומי קומראן,"אתר ארכיאולוגי במדבר יהודה ליד ים המלח, מקום התגלותם המפורסם של מגילות ים המלח במערות הסמוכות - שרידי יישוב כיתתי-נזירי מהתקופה הרומית ותצפית אל צוקי המדבר.",archaeology,easy,deadsea,31.7415307,35.4598211,שעה-שעה וחצי,1,200,true,false,false,false,paid,,1.25,
tiuli-44,גן לאומי קיסריה,"יעד טיול בפארק לאומי במרכז הארץ — מסלול באורך כ-2 ק""מ, רמת קושי קלה.",parks,easy,center,32.501,34.8934,כחצי שעה,2,2984,false,false,false,false,free,,,
lm-e88746aa,גן לאומי קיסריה,גן לאומי קיסריה — גן לאומי / מסלול באזור צפון / חוף הכרמל,parks,easy,north,32.498858,34.898751,,0,0,true,false,false,false,free,,,https://www.parks.org.il/trip/page/2/
castel,גן לאומי קסטל,"פסגה אסטרטגית בכניסה לירושלים, אתר-מורשת עם שרידי מבצר צלבני ואתר-הנצחה למלחמת-העצמאות, שבמהלכה התחוללו כאן קרבות קשים על השליטה בדרך לירושלים - תצפית פנורמית מרהיבה.",heritage,easy,jerusalem,31.7973874,35.1421738,שעה,1.5,130,true,false,false,false,free,,1,
tel-beer-sheva,גן לאומי תל באר שבע,"תל מקראי המזוהה עם בירת הנגב הקדומה, אתר מורשת עולמי אונסק""ו (יחד עם תל מגידו ותל חצור) - שרידי עיר-מנהל ישראלית מהמאה ה-10-8 לפנה""ס, כולל שער-עיר, מערכת-מים תת-קרקעית ומזבח-קרניים משוחזר.",archaeology,easy,south,31.244835,34.840858,שעה-שעתיים,1.5,130,true,false,false,false,paid,,1.5,
tel-dor,גן לאומי תל דור,"תל ארכיאולוגי על חוף הים התיכון, נמל קדום ומרכזי מהתקופה הכנענית ועד הרומית, עם לגונות טורקיז יפהפיות, מפרצים טבעיים וחורבות עמוקות.",archaeology,medium,center,32.6202955,34.9206011,כשעתיים,2,200,true,false,false,true,paid,,2,https://www.maslulim-israel.co.il/tracks/%d7%aa%d7%9c-%d7%93%d7%95%d7%a8-%d7%9e%d7%a4%d7%a8%d7%a6%d7%99%d7%9d-%d7%98%d7%91%d7%a2%d7%99%d7%99%d7%9d-%d7%a0%d7%9e%d7%9c-%d7%a7%d7%93%d7%95%d7%9d-%d7%95%d7%9c%d7%92%d7%95%d7%a0%d7%95%d7%aa/
tel-hazor,גן לאומי תל חצור,"תל ארכיאולוגי גדול בגליל העליון, אתר מורשת עולמי של אונסק""ו לצד מגידו ובאר-שבע - העיר המקראית הגדולה בישראל, עם שרידי ארמון כנעני, שערי-ענק ומערכת-מים תת-קרקעית מרשימה.",archaeology,medium,north,33.017442,35.56818,כשעתיים,1.2,150,true,false,false,false,paid,,2,https://www.maslulim-israel.co.il/tracks/%d7%91%d7%a9%d7%91%d7%99%d7%9c%d7%99-%d7%aa%d7%9c-%d7%97%d7%a6%d7%95%d7%a8-%d7%94%d7%a2%d7%99%d7%a8-%d7%94%d7%9e%d7%a7%d7%a8%d7%90%d7%99%d7%aa-%d7%94%d7%92%d7%93%d7%95%d7%9c%d7%94-%d7%91%d7%99%d7%a9/
tel-megiddo,גן לאומי תל מגידו,"תל ארכיאולוגי עתיק בעמק יזרעאל, אתר מורשת עולמי של אונסק""ו, עם שכבות-יישוב מ-20 תקופות היסטוריות, שערי-ענק כנעניים, ומנהרת-מים חצובה בסלע היורדת אל נחל הקיני.",archaeology,medium,north,32.5865272,35.1861405,5-4 שעות,6.5,350,true,false,false,true,paid,,4.5,https://www.maslulim-israel.co.il/tracks/%d7%90%d7%9c-%d7%aa%d7%9c-%d7%9e%d7%92%d7%99%d7%93%d7%95-%d7%92%d7%91%d7%a2%d7%aa-%d7%99%d7%90%d7%a9%d7%99%d7%94%d7%95-%d7%95%d7%a0%d7%97%d7%9c-%d7%94%d7%a7%d7%99%d7%a0%d7%99-%d7%91%d7%a2%d7%a7/
tel-arad,גן לאומי תל ערד,"תל ארכיאולוגי בנגב הכולל שתי ערים חופפות - עיר כנענית קדומה מתקופת הברונזה, ומצודה ישראלית מקראית עם מקדש עתיק נדיר. אחד מאתרי-הארכיאולוגיה המרכזיים במחקר תקופת המקרא.",archaeology,easy,south,31.2782563,35.1265579,שעה-שעה וחצי,1.5,90,true,false,false,false,paid,,1,
ganey-hugga,גני חוגה - פארק מעיינות וקמפינג,"פארק מעיינות משפחתי בעמק בית שאן, סביב בריכות-מים טבעיות עם מגלשות-מים ואזורי קמפינג - יעד מבוקש לחופשה שלמה בטבע.",water,easy,north,32.5184303,35.5381805,יום שלם,1,3450,true,false,true,true,paid,,4,
jerusalem-chords-bridge,גשר המיתרים,"גשר תלוי מרשים בכניסה לירושלים, מעל ערוצו של גיא בן-הינום, המחובר בכבלי-פלדה לתורן אחד גבוה - מרהיב גם ביום וגם מואר בלילה, עם נוף אל הר ציון והעיר החדשה.",urban,medium,jerusalem,31.7889343,35.1999677,45-30 דקות,0.8,190,true,false,true,false,free,,0.75,https://www.maslulim-israel.co.il/tracks/%d7%94%d7%92%d7%a9%d7%a8-%d7%94%d7%aa%d7%9c%d7%95%d7%99-%d7%91%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%a1%d7%99%d7%95%d7%a8-%d7%9c%d7%99%d7%9c%d7%99-%d7%9c%d7%90%d7%95%d7%a8%d7%9a-%d7%94%d7%92/
lm-89805f41,דרך בורמה,דרך בורמה — דרך נוף / טיול רכב באזור מרכז / ירושלים והשפלה,nature,easy,center,31.8137001,34.9722548,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
lm-539a3963,דרך הפסלים ביער צרעה (יער הנשיא),דרך הפסלים ביער צרעה (יער הנשיא) — יער / מסלול באזור מרכז / ירושלים והשפלה,nature,easy,center,31.772725,34.974461,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
tiuli-186,דרך מתקני המצור הרומי באזור מצדה,"מסלול טיול בטבע פתוח, באזור ים המלח ומדבר יהודה, באורך כ-3 ק""מ ברמת קושי בינונית.",nature,medium,deadsea,31.3513,35.3534,כחצי שעה,3,3045,false,false,false,false,free,,,
lm-53550bd9,דרך נוף הרי נפתלי,דרך נוף הרי נפתלי — דרך נוף / טיול רכב באזור צפון,nature,easy,north,33.239029,35.572164,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
lm-bd490314,דרך נוף פארק בריטניה,דרך נוף פארק בריטניה — דרך נוף / טיול רכב באזור מרכז / ירושלים והשפלה,nature,easy,center,31.700713756956883,34.93171691894531,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
lm-defe6a95,האלה של רבי טרפון בקדיתא,האלה של רבי טרפון בקדיתא — טיול / נקודת עניין באזור צפון,nature,easy,north,33.00341,35.47194,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
tiuli-49,"הבניאס, נחל דן ונחל שניר: טיול אל מקורות הירדן","טיול לאורך נחל ומקווי מים בצפון הארץ, באורך של כ-3 ק""מ ברמת קושי קלה.",water,easy,north,33.2474,35.6943,כחצי שעה,3,422,false,false,false,false,free,,,
tiuli-277,הבניאס: נחל חרמון,"טיול לאורך נחל ומקווי מים בצפון הארץ, באורך של כ-6 ק""מ ברמת קושי בינונית.",water,medium,north,33.2472378,35.6934429,כ-2 שעות,6,2862,false,false,false,false,free,,,
lm-d2f9fc1f,הגן הבוטני באגמון החולה קק״ל,הגן הבוטני באגמון החולה קק״ל — טיול / נקודת עניין באזור צפון,water,easy,north,33.109796,35.590411,,0,0,true,false,false,true,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_north/
jerusalem-botanical-garden,הגן הבוטני בירושלים,"גן בוטני נרחב למרגלות גבעת רם בירושלים, עם מגוון עצים משירים שהופכים אותו ליעד מיוחד בעונת השלכת - אך יפה ומטופח לאורך כל השנה.",parks,easy,jerusalem,31.7657885,35.2018268,כשעה,1,140,true,false,true,false,paid,autumn,1,https://www.maslulim-israel.co.il/tracks/%d7%9e%d7%92%d7%95%d7%95%d7%9f-%d7%a8%d7%97%d7%91-%d7%a9%d7%9c-%d7%a6%d7%91%d7%a2%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa-%d7%91%d7%92%d7%9f-%d7%94%d7%91%d7%95%d7%98%d7%a0%d7%99-%d7%91%d7%99%d7%a8%d7%95-2/
lm-e3bae8d5,ההר העגול ביער אלונה,ההר העגול ביער אלונה — יער / מסלול באזור מרכז / ירושלים והשפלה,viewpoints,easy,center,32.5645,35.03159,,0,0,true,false,false,false,free,,,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
tiuli-122,הזאכי – שפך נחל משושים,"יעד טיול לאורך נחל ומקווי מים בצפון הארץ — מסלול באורך כ-5 ק""מ, רמת קושי בינונית.",water,medium,north,32.8854,35.6544,כ-2 שעות,5,2008,false,false,false,false,free,,,
nahal-haasi-green-beach,החוף הירוק - נחל האסי,"קטע-רחצה ירוק ושליו על נחל האסי בקיבוץ ניר דוד, בתוך שמורת טבע - מים זורמים וצללים נעימים, פחות עמוס מגן השלושה הסמוך.",reserves,easy,north,32.5056419,35.4519386,שעה,1,200,true,false,false,true,free,,1,
tiuli-42,החרמון,"מסלול טיול בטבע פתוח, בצפון הארץ, באורך כ-1 ק""מ ברמת קושי בינונית.",nature,medium,north,33.2907,35.7593,כחצי שעה,1,2862,false,false,false,false,free,,,
tiuli-334,הירדן ההררי: מסלול מעגלי ומסלול קווי בפארק הירדן,"טיול בטבע פתוח בצפון הארץ, באורך של כ-11 ק""מ ברמת קושי קלה.",nature,easy,north,33.004838,35.62773300000001,כ-3 שעות,11,605,false,false,false,false,free,,,
tiuli-209,הליכה בין הצבעים - מסלול ירוק בתל אביב,"יעד טיול באתר ארכיאולוגי במרכז הארץ — מסלול באורך כ-5 ק""מ, רמת קושי קלה.",archaeology,easy,center,32.097,34.783,כ-2 שעות,5,1581,false,false,false,false,free,,,
tiuli-93,המושבה האמריקאית בתל אביב,"מסלול טיול באתר ארכיאולוגי, במרכז הארץ, באורך כ-2 ק""מ ברמת קושי קלה.",archaeology,easy,center,32.0594,34.7587,כחצי שעה,2,3106,false,false,false,false,free,,,
