name,category,region,confidence,map_link
"מצפור הר בנטל","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.1288,35.7858"
"הר מירון","mountains","north","גבוהה","https://www.google.com/maps?q=32.99774886,35.41249775"
"עין כובס","water","north","גבוהה","https://www.google.com/maps?q=32.96,35.51"
"עין זיתים","water","north","גבוהה","https://www.google.com/maps?q=32.965,35.485"
"מצפור יפתח","viewpoints","north","גבוהה","https://www.google.com/maps?q=33.1305,35.5559"
"הר הכרמל","mountains","north","גבוהה","https://www.google.com/maps?q=32.72852,35.05411"
"גבעת המורה","viewpoints","north","גבוהה","https://www.google.com/maps?q=32.6177,35.3489"
"עין חרוד","water","north","גבוהה","https://www.google.com/maps?q=32.5553,35.3897"
"עין דור","water","north","גבוהה","https://www.google.com/maps?q=32.642525,35.391611"
"מצפור הר תבור","viewpoints","north","גבוהה","https://www.google.com/maps?q=32.7066,35.3686"
"תל יזרעאל","archaeology","north","גבוהה","https://www.google.com/maps?q=32.5578,35.3281"
"תל חנתון","archaeology","north","גבוהה","https://www.google.com/maps?q=32.7859178,35.2562847"
"תל בית ירח","archaeology","north","גבוהה","https://www.google.com/maps?q=32.71703,35.571261"
"תל עמל","archaeology","north","גבוהה","https://www.google.com/maps?q=32.50413196,35.45655814"
"מצפור תל מיכל","viewpoints","center","גבוהה","https://www.google.com/maps?q=32.160787,34.797131"
"תל קסילה","archaeology","center","גבוהה","https://www.google.com/maps?q=32.101404,34.795422"
"תל גזר","archaeology","center","גבוהה","https://www.google.com/maps?q=31.859872,34.919644"
"חורבת בורגתה","archaeology","center","גבוהה","https://www.google.com/maps?q=32.318458,34.949516"
"פארק רעננה","nature","center","גבוהה","https://www.google.com/maps?q=32.1882,34.8505"
"פארק כפר סבא","nature","center","גבוהה","https://www.google.com/maps?q=32.1846,34.9277"
"פארק הרצליה","nature","center","גבוהה","https://www.google.com/maps?q=32.1745,34.8244"
"פארק הוד השרון","nature","center","גבוהה","https://www.google.com/maps?q=32.147,34.9087"
"פארק הירקון","nature","center","גבוהה","https://www.google.com/maps?q=32.1003,34.8114"
"פארק אקולוגי הוד השרון","nature","center","גבוהה","https://www.google.com/maps?q=32.1364,34.9205"
"פארק אגם נתניה","nature","center","גבוהה","https://www.google.com/maps?q=32.2864,34.853"
"פארק אגם ראשון לציון","nature","center","גבוהה","https://www.google.com/maps?q=31.9797,34.7714"
"נחל שורק","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.941373,34.707306"
"נחל רפאים","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.758729,35.08799"
"נחל כסלון","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.75977,34.990038"
"נחל סנסן","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.681607,34.994096"
"נחל זנוח","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.738547,35.004081"
"עין חנדק","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.762368,35.139001"
"עין אל בלד","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.743927,35.146051"
"עין חובילה","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.6576,35.1022"
"עין סעדים","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.75269,35.12617"
"עין אשקף","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.756634,35.126874"
"עין אורה","water","jerusalem","גבוהה","https://www.google.com/maps?q=31.7409583333,35.1469833333"
"הר יעלה","viewpoints","jerusalem","גבוהה","https://www.google.com/maps?q=31.7511,35.0425"
"הר גיורא","mountains","jerusalem","גבוהה","https://www.google.com/maps?q=31.744711,35.08257"
"הר רפאים","mountains","jerusalem","גבוהה","https://www.google.com/maps?q=31.735601,35.102341"
"הר עמינדב","mountains","jerusalem","גבוהה","https://www.google.com/maps?q=31.747391,35.139277"
"הר תנופה","mountains","jerusalem","גבוהה","https://www.google.com/maps?q=31.784233,34.969751"
"הר שמשון","viewpoints","jerusalem","גבוהה","https://www.google.com/maps?q=31.767052,35.03705"
"הר יערן","viewpoints","jerusalem","גבוהה","https://www.google.com/maps?q=31.707424,35.039458"
"מצפור הר טייסים","viewpoints","jerusalem","גבוהה","https://www.google.com/maps?q=31.7721,35.0886"
"חורבת מדרס","archaeology","jerusalem","גבוהה","https://www.google.com/maps?q=31.65594,34.93747"
"חורבת קיאפה","archaeology","jerusalem","גבוהה","https://www.google.com/maps?q=31.69643,34.95736"
"מערת שמשון","archaeology","jerusalem","גבוהה","https://www.google.com/maps?q=31.764352,35.022712"
"מערת בני ברית","archaeology","jerusalem","גבוהה","https://www.google.com/maps?q=31.776829,35.03383"
"מערות בית גוברין","nature","jerusalem","גבוהה","https://www.google.com/maps?q=31.605326,34.903718"
"תל גודד","archaeology","jerusalem","גבוהה","https://www.google.com/maps?q=31.633864,34.90991"
"תל בית שמש","archaeology","jerusalem","גבוהה","https://www.google.com/maps?q=31.750796,34.974873"
"תל ירמות","archaeology","jerusalem","גבוהה","https://www.google.com/maps?q=31.707923,34.975151"
"תל צרעה","archaeology","jerusalem","גבוהה","https://www.google.com/maps?q=31.774602,34.985869"
"תל לכיש","archaeology","jerusalem","גבוהה","https://www.google.com/maps?q=31.565443,34.848845"
"תל צפית","viewpoints","jerusalem","גבוהה","https://www.google.com/maps?q=31.702,34.8474"
"עמק הארזים","nature","jerusalem","גבוהה","https://www.google.com/maps?q=31.800344,35.171345"
"גן לאומי עין חמד","parks","jerusalem","גבוהה","https://www.google.com/maps?q=31.796716,35.123935"
"גן לאומי הקסטל","parks","jerusalem","גבוהה","https://www.google.com/maps?q=31.7955,35.1448"
"גן לאומי בית גוברין","parks","jerusalem","גבוהה","https://www.google.com/maps?q=31.6128,34.8954"
"פארק העצמאות תל אביב","nature","center","גבוהה","https://www.google.com/maps?q=32.0887,34.7708"
"טיילת תל אביב","nature","center","גבוהה","https://www.google.com/maps?q=32.0781,34.7662"
"טיילת יפו","nature","center","גבוהה","https://www.google.com/maps?q=32.0524,34.7505"
"טיילת הרצליה","nature","center","גבוהה","https://www.google.com/maps?q=32.1695,34.8009"
"טיילת נתניה","nature","center","גבוהה","https://www.google.com/maps?q=32.3216,34.8505"
"טיילת בת ים","nature","center","גבוהה","https://www.google.com/maps?q=32.018,34.739"
"טיילת ראשון לציון","nature","center","גבוהה","https://www.google.com/maps?q=31.9805,34.7402"
"טיילת אשדוד","nature","center","גבוהה","https://www.google.com/maps?q=31.7957,34.6339"
"טיילת אשקלון","nature","center","גבוהה","https://www.google.com/maps?q=31.675,34.5545"
"נמל תל אביב","nature","center","גבוהה","https://www.google.com/maps?q=32.0964,34.7734"
"נמל עכו","nature","center","גבוהה","https://www.google.com/maps?q=32.9182,35.068"
"מתחם התחנה תל אביב","nature","center","גבוהה","https://www.google.com/maps?q=32.0566,34.7614"
"עכו העתיקה","archaeology","center","גבוהה","https://www.google.com/maps?q=32.9213,35.0685"
"בריכת הקשתות רמלה","water","center","גבוהה","https://www.google.com/maps?q=31.9304,34.8733"
"נחל ערוגות","water","deadsea","גבוהה","https://www.google.com/maps?q=31.455,35.385"
"נחל דוד","water","deadsea","גבוהה","https://www.google.com/maps?q=31.47,35.39"
"עין פשחה","water","deadsea","גבוהה","https://www.google.com/maps?q=31.72,35.455"
"עין עוג'ה","water","deadsea","גבוהה","https://www.google.com/maps?q=31.955,35.445"
"עין חגלה","water","deadsea","גבוהה","https://www.google.com/maps?q=31.83,35.51"
"הר קנאים","viewpoints","deadsea","גבוהה","https://www.google.com/maps?q=31.2993,35.2968"
"עין עבדת","water","south","גבוהה","https://www.google.com/maps?q=30.83,34.77"
"עין מור","water","south","גבוהה","https://www.google.com/maps?q=30.81,34.785"
"הר רמון","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.499856,34.630766"
"הר ארדון","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.6408,34.9503"
"הר קטום","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.5763,34.8951"
"הר עידו","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.5048,34.6853"
"הר צרור","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.8603,34.8212"
"מצפור ליפא גל","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.8223,34.7413"
"מצפור חגי","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.887672,34.791927"
"מצפור המכתש הקטן","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.9398,35.1631"
"באר רבובה","nature","south","גבוהה","https://www.google.com/maps?q=31.256611,34.488218"
"הר שלמה","viewpoints","south","גבוהה","https://www.google.com/maps?q=29.5801,34.8997"
"הר נשף","viewpoints","south","גבוהה","https://www.google.com/maps?q=29.6659,34.866"
"הר צניפים","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.1286,34.8604"
"עין עברונה","water","south","גבוהה","https://www.google.com/maps?q=29.66,35.02"
"עין יהב","water","south","גבוהה","https://www.google.com/maps?q=30.65,35.21"
"מצפור הר ברך","viewpoints","south","גבוהה","https://www.google.com/maps?q=29.79242,34.91584"
"מצפור דרך השלום","viewpoints","south","גבוהה","https://www.google.com/maps?q=30.7788,35.2935"
"חוף הנסיכה","water","south","גבוהה","https://www.google.com/maps?q=29.4957,34.9161"
